session_id,participant_id,date,time_of_day,minute_index,blink_count,blink_rate,raw_blink_timestamps,total_blinks,avg_blinks,std_blinks,age,glasses,hours_sleep,caffeine_last_6h,task,lighting,self_report_score,self_report_label,notes
7173fffd,P01,2025-12-08,19:45:30,1,23,23,"[1765241076.779078, 1765241078.375484, 1765241079.444305, 1765241087.805964, 1765241088.3355598, 1765241089.241858, 1765241089.731731, 1765241090.099636, 1765241090.5931468, 1765241092.849175, 1765241093.590188, 1765241093.874349, 1765241094.412856, 1765241095.062023, 1765241099.3699892, 1765241100.610365, 1765241102.5398872, 1765241107.335574, 1765241123.8466449, 1765241124.269943, 1765241125.1301062, 1765241125.4087849, 1765241125.524977]",,,,30,yes,6,yes,other,neutral,,,
7173fffd,P01,2025-12-08,19:46:30,2,6,6,"[1765241140.2051342, 1765241140.66129, 1765241146.277615, 1765241146.604316, 1765241147.671947, 1765241158.9459252]",,,,30,yes,6,yes,other,neutral,,,
7173fffd,P01,2025-12-08,19:47:30,3,32,32,"[1765241210.6043, 1765241222.669024, 1765241223.404224, 1765241223.645347, 1765241224.470725, 1765241224.8008902, 1765241229.992437, 1765241230.217752, 1765241230.534742, 1765241231.061328, 1765241232.1402931, 1765241232.753747, 1765241233.194125, 1765241233.529897, 1765241236.805825, 1765241237.470089, 1765241237.670453, 1765241237.914755, 1765241238.194366, 1765241238.9477901, 1765241239.2759411, 1765241241.111596, 1765241241.271403, 1765241241.939083, 1765241242.143702, 1765241242.4683468, 1765241243.0791628, 1765241246.80865, 1765241247.143265, 1765241247.7966468, 1765241248.774154, 1765241250.4666371]",,,,30,yes,6,yes,other,neutral,,,
7173fffd,P01,2025-12-08,19:48:30,4,84,84,"[1765241256.618488, 1765241258.778935, 1765241259.069327, 1765241259.195151, 1765241259.476801, 1765241259.604589, 1765241261.982267, 1765241268.899474, 1765241269.109411, 1765241270.25474, 1765241272.194574, 1765241272.8038871, 1765241273.372747, 1765241274.530148, 1765241274.6430562, 1765241274.84721, 1765241275.1488252, 1765241275.5129678, 1765241275.673646, 1765241275.7925131, 1765241276.131901, 1765241276.448204, 1765241277.073621, 1765241277.1874309, 1765241277.8038888, 1765241278.130558, 1765241278.5556831, 1765241278.992287, 1765241279.119284, 1765241279.2352378, 1765241279.398014, 1765241279.736446, 1765241280.27263, 1765241282.317903, 1765241283.590349, 1765241283.993834, 1765241284.405437, 1765241284.536812, 1765241285.310951, 1765241285.6799748, 1765241285.7941701, 1765241286.368505, 1765241286.6685052, 1765241286.997129, 1765241289.611645, 1765241292.735026, 1765241292.977076, 1765241293.258376, 1765241293.3876119, 1765241293.594205, 1765241294.034928, 1765241294.211311, 1765241294.7807, 1765241294.9875252, 1765241297.074652, 1765241297.314551, 1765241297.64577, 1765241298.9209542, 1765241299.13313, 1765241299.246177, 1765241300.599736, 1765241300.934794, 1765241301.0485601, 1765241301.472382, 1765241301.672447, 1765241302.07679, 1765241302.768938, 1765241302.948734, 1765241303.474763, 1765241303.7196019, 1765241304.212536, 1765241304.780768, 1765241304.902512, 1765241305.317688, 1765241306.046787, 1765241306.712277, 1765241306.878005, 1765241307.081739, 1765241307.3299, 1765241308.517167, 1765241308.838366, 1765241309.0434518, 1765241309.753999, 1765241310.3960419]",,,,30,yes,6,yes,other,neutral,,,
7173fffd,P01,2025-12-08,19:50:51,session_summary,,,"[1765241076.779079, 1765241078.375484, 1765241079.444305, 1765241087.805965, 1765241088.3355598, 1765241089.241858, 1765241089.731731, 1765241090.099636, 1765241090.5931468, 1765241092.8491762, 1765241093.590188, 1765241093.87435, 1765241094.412856, 1765241095.0620239, 1765241099.3699899, 1765241100.6103659, 1765241102.5398881, 1765241107.335575, 1765241123.846646, 1765241124.269944, 1765241125.1301079, 1765241125.4087849, 1765241125.524978, 1765241140.205135, 1765241140.66129, 1765241146.277616, 1765241146.604318, 1765241147.671948, 1765241158.9459252, 1765241210.604301, 1765241222.669025, 1765241223.404225, 1765241223.645347, 1765241224.4707258, 1765241224.800891, 1765241229.992438, 1765241230.217752, 1765241230.534743, 1765241231.061328, 1765241232.140295, 1765241232.753747, 1765241233.194125, 1765241233.529898, 1765241236.805826, 1765241237.47009, 1765241237.670455, 1765241237.914755, 1765241238.194367, 1765241238.947791, 1765241239.2759418, 1765241241.111596, 1765241241.271404, 1765241241.939085, 1765241242.1437042, 1765241242.4683478, 1765241243.0791638, 1765241246.80865, 1765241247.1432672, 1765241247.796648, 1765241248.774154, 1765241250.466639, 1765241256.618488, 1765241258.778935, 1765241259.069327, 1765241259.195151, 1765241259.476802, 1765241259.604589, 1765241261.9822679, 1765241268.899474, 1765241269.1094122, 1765241270.25474, 1765241272.194575, 1765241272.8038871, 1765241273.3727481, 1765241274.530148, 1765241274.6430562, 1765241274.8472111, 1765241275.1488268, 1765241275.512969, 1765241275.6736472, 1765241275.792514, 1765241276.131901, 1765241276.448204, 1765241277.073623, 1765241277.187432, 1765241277.80389, 1765241278.130558, 1765241278.5556831, 1765241278.992288, 1765241279.119285, 1765241279.2352378, 1765241279.398014, 1765241279.736446, 1765241280.272631, 1765241282.3179038, 1765241283.5903502, 1765241283.993835, 1765241284.405437, 1765241284.536812, 1765241285.310952, 1765241285.6799748, 1765241285.7941709, 1765241286.368505, 1765241286.6685061, 1765241286.99713, 1765241289.611646, 1765241292.7350268, 1765241292.977077, 1765241293.258376, 1765241293.3876119, 1765241293.594205, 1765241294.034928, 1765241294.211311, 1765241294.780701, 1765241294.9875252, 1765241297.074653, 1765241297.314552, 1765241297.64577, 1765241298.9209542, 1765241299.13313, 1765241299.246177, 1765241300.5997372, 1765241300.934795, 1765241301.0485609, 1765241301.472383, 1765241301.67245, 1765241302.076791, 1765241302.768939, 1765241302.948735, 1765241303.474764, 1765241303.7196019, 1765241304.212537, 1765241304.780769, 1765241304.9025128, 1765241305.3176892, 1765241306.046788, 1765241306.7122781, 1765241306.8780081, 1765241307.081739, 1765241307.329901, 1765241308.517168, 1765241308.838367, 1765241309.043453, 1765241309.754, 1765241310.3960419, 1765241311.171884, 1765241311.660109, 1765241312.535003, 1765241313.1847832, 1765241318.606405, 1765241320.642517, 1765241320.8722901, 1765241330.861265, 1765241333.444472, 1765241336.403265, 1765241338.971004, 1765241340.94502, 1765241342.461044, 1765241343.73177, 1765241345.668546, 1765241345.784265, 1765241346.398581, 1765241352.181258, 1765241352.677479, 1765241353.535622, 1765241353.853419, 1765241357.065168, 1765241357.5022268, 1765241359.196537, 1765241361.977948, 1765241362.260384, 1765241363.543401, 1765241363.860194, 1765241364.7198248, 1765241365.5487108, 1765241366.211515, 1765241366.732826, 1765241368.873708]",145,36.25,29.11,30,yes,6,yes,other,neutral,5,tired,baseline_blinks=6
