session_id,participant_id,date,time_of_day,minute_index,blink_count,blink_rate,raw_blink_timestamps,total_blinks,avg_blinks,std_blinks,age,glasses,hours_sleep,caffeine_last_6h,task,lighting,self_report_score,self_report_label,notes
e0189438,P01,2025-12-02,08:10:55,1,2,2,"[1764681004.232613, 1764681032.5160792]",,,,30,yes,8,no,other,neutral,,,
e0189438,P01,2025-12-02,08:11:55,2,5,5,"[1764681004.232613, 1764681032.5160792, 1764681057.775421, 1764681107.4808881, 1764681112.044338, 1764681113.120926, 1764681114.755334]",,,,30,yes,8,no,other,neutral,,,
e0189438,P01,2025-12-02,08:12:55,3,1,1,"[1764681004.232613, 1764681032.5160792, 1764681057.775421, 1764681107.4808881, 1764681112.044338, 1764681113.120926, 1764681114.755334, 1764681147.297811]",,,,30,yes,8,no,other,neutral,,,
e0189438,P01,2025-12-02,08:13:55,4,1,1,"[1764681004.232613, 1764681032.5160792, 1764681057.775421, 1764681107.4808881, 1764681112.044338, 1764681113.120926, 1764681114.755334, 1764681147.297811, 1764681190.250129]",,,,30,yes,8,no,other,neutral,,,
e0189438,P01,2025-12-02,08:14:55,5,3,3,"[1764681004.232613, 1764681032.5160792, 1764681057.775421, 1764681107.4808881, 1764681112.044338, 1764681113.120926, 1764681114.755334, 1764681147.297811, 1764681190.250129, 1764681238.26915, 1764681249.1529431, 1764681292.539711]",,,,30,yes,8,no,other,neutral,,,
e0189438,P01,2025-12-02,08:17:14,session_summary,,,"[1764681004.232613, 1764681032.5160792, 1764681057.775421, 1764681107.4808881, 1764681112.044338, 1764681113.120926, 1764681114.755334, 1764681147.297811, 1764681190.250129, 1764681238.26915, 1764681249.1529431, 1764681292.539711]",12,2.40,1.50,30,yes,8,no,other,neutral,3,moderado,baseline_blinks=17
