session_id,participant_id,date,time_of_day,minute_index,blink_count,blink_rate,raw_blink_timestamps,total_blinks,avg_blinks,std_blinks,age,glasses,hours_sleep,caffeine_last_6h,task,lighting,self_report_score,self_report_label,notes
01f9ac94,P01,2025-12-02,08:02:02,1,6,6,"[1764680493.938213, 1764680498.166259, 1764680498.805484, 1764680499.500603, 1764680507.840777, 1764680520.670314]",,,,30,yes,8,no,other,neutral,,,
01f9ac94,P01,2025-12-02,08:03:02,2,6,6,"[1764680493.938213, 1764680498.166259, 1764680498.805484, 1764680499.500603, 1764680507.840777, 1764680520.670314, 1764680527.2241678, 1764680555.624326, 1764680556.598701, 1764680557.034432, 1764680557.1340318, 1764680562.7187278]",,,,30,yes,8,no,other,neutral,,,
01f9ac94,P01,2025-12-02,08:04:02,3,11,11,"[1764680493.938213, 1764680498.166259, 1764680498.805484, 1764680499.500603, 1764680507.840777, 1764680520.670314, 1764680527.2241678, 1764680555.624326, 1764680556.598701, 1764680557.034432, 1764680557.1340318, 1764680562.7187278, 1764680587.647837, 1764680588.681684, 1764680589.47854, 1764680590.278784, 1764680592.173501, 1764680594.407448, 1764680600.743414, 1764680602.954517, 1764680609.7836502, 1764680632.158784, 1764680635.67406]",,,,30,yes,8,no,other,neutral,,,
01f9ac94,P01,2025-12-02,08:05:02,4,9,9,"[1764680493.938213, 1764680498.166259, 1764680498.805484, 1764680499.500603, 1764680507.840777, 1764680520.670314, 1764680527.2241678, 1764680555.624326, 1764680556.598701, 1764680557.034432, 1764680557.1340318, 1764680562.7187278, 1764680587.647837, 1764680588.681684, 1764680589.47854, 1764680590.278784, 1764680592.173501, 1764680594.407448, 1764680600.743414, 1764680602.954517, 1764680609.7836502, 1764680632.158784, 1764680635.67406, 1764680645.166687, 1764680650.479862, 1764680660.312908, 1764680663.887563, 1764680683.898061, 1764680688.300551, 1764680689.031871, 1764680693.8555741, 1764680696.633208]",,,,30,yes,8,no,other,neutral,,,
01f9ac94,P01,2025-12-02,08:06:02,5,8,8,"[1764680493.938213, 1764680498.166259, 1764680498.805484, 1764680499.500603, 1764680507.840777, 1764680520.670314, 1764680527.2241678, 1764680555.624326, 1764680556.598701, 1764680557.034432, 1764680557.1340318, 1764680562.7187278, 1764680587.647837, 1764680588.681684, 1764680589.47854, 1764680590.278784, 1764680592.173501, 1764680594.407448, 1764680600.743414, 1764680602.954517, 1764680609.7836502, 1764680632.158784, 1764680635.67406, 1764680645.166687, 1764680650.479862, 1764680660.312908, 1764680663.887563, 1764680683.898061, 1764680688.300551, 1764680689.031871, 1764680693.8555741, 1764680696.633208, 1764680706.841564, 1764680723.514753, 1764680727.81665, 1764680727.915622, 1764680728.053546, 1764680728.182843, 1764680730.144861, 1764680731.1228192]",,,,30,yes,8,no,other,neutral,,,
01f9ac94,P01,2025-12-02,08:06:43,session_summary,,,"[1764680493.938213, 1764680498.166259, 1764680498.805484, 1764680499.500603, 1764680507.840777, 1764680520.670314, 1764680527.2241678, 1764680555.624326, 1764680556.598701, 1764680557.034432, 1764680557.1340318, 1764680562.7187278, 1764680587.647837, 1764680588.681684, 1764680589.47854, 1764680590.278784, 1764680592.173501, 1764680594.407448, 1764680600.743414, 1764680602.954517, 1764680609.7836502, 1764680632.158784, 1764680635.67406, 1764680645.166687, 1764680650.479862, 1764680660.312908, 1764680663.887563, 1764680683.898061, 1764680688.300551, 1764680689.031871, 1764680693.8555741, 1764680696.633208, 1764680706.841564, 1764680723.514753, 1764680727.81665, 1764680727.915622, 1764680728.053546, 1764680728.182843, 1764680730.144861, 1764680731.1228192]",40,8.00,1.90,30,yes,8,no,other,neutral,3,moderado,baseline_blinks=5
